date, pm25, pm10, no2
2023/4/24, 16, 12, 7
2023/4/25, 29, 13, 4
2023/4/26, 21, 12, 6
2023/4/27, 13, 13, 4
2023/4/28, 13, 21, 8
2023/4/29, 23, 7, 1
2023/4/30, 9, 9, 4
2023/5/1, 21, 5, 3
2023/5/2, 8, 8, 4
2023/5/3, 9, 13, 5
2023/5/4, 15, 23, 10
2023/5/5, 25, 16, 6
2023/5/6, 20, 17, 5
2023/5/7, 22, 33, 6
2023/5/8, 32, 48, 5
2023/5/9, 43, 32, 5
2023/5/10, 40, 40, 8
2023/5/11, 43, 31, 8
2023/5/12, 41, 32, 7
2023/5/13, 44, 27, 6
2023/5/14, 45, 36, 11
2023/5/15, 49, 17, 7
2023/5/16, 48, , 
2023/6/14, 29, 20, 12
2023/6/15, 33, 17, 9
2023/6/16, 38, 13, 5
2023/6/17, 33, 14, 6
2023/6/18, 44, 20, 7
2023/6/19, 53, 16, 7
2023/6/20, 42, 17, 6
2023/6/21, 44, 12, 3
2023/6/22, 29, 8, 3
2023/6/23, 21, 6, 3
2023/6/24, 14, 5, 3
2023/6/25, 15, 8, 6
2023/6/26, 17, 10, 5
2023/6/27, 25, 12, 5
2023/6/28, 32, 11, 5
2023/6/29, 30, 9, 4
2023/6/30, 22, 7, 2
2023/1/2, 16, 3, 4
2023/1/3, 9, 3, 7
2023/1/4, 10, 5, 4
2023/1/5, 16, 4, 4
2023/1/6, 13, 8, 3
2023/1/7, 27, 9, 3
2023/1/8, 29, 10, 7
2023/1/9, 33, 6, 8
2023/1/10, 18, 3, 3
2023/1/11, 10, 4, 6
2023/1/12, 13, 4, 6
2023/1/13, 13, 3, 4
2023/1/14, 10, 3, 3
2023/1/15, 8, 3, 6
2023/1/16, 8, 6, 5
2023/1/17, 19, 5, 6
2023/1/18, 13, 6, 12
2023/1/19, 20, 10, 18
2023/1/20, 32, 10, 4
2023/1/21, 35, 10, 6
2023/1/22, 33, 9, 4
2023/1/23, 30, 6, 4
2023/1/24, 21, 3, 3
2023/1/25, 10, 5, 6
2023/1/26, 11, 4, 9
2023/1/27, 10, , 
2023/1/29, 10, 7, 2
2023/1/30, 7, 26, 8
2023/1/31, 25, 7, 14
2023/2/1, 18, 3, 8
2023/2/2, 10, 6, 10
2023/2/3, 18, 5, 5
2023/2/4, 16, 6, 5
2023/2/5, 16, 5, 12
2023/2/6, 15, 6, 6
2023/2/7, 21, 8, 6
2023/2/8, 26, 31, 5
2023/2/9, 43, 25, 3
2023/2/10, 22, 3, 5
2023/2/11, 10, 5, 5
2023/2/12, 18, 2, 5
2023/2/13, 8, 6, 9
2023/2/14, 19, 9, 7
2023/2/15, 29, 13, 7
2023/2/16, 41, 11, 7
2023/2/17, 35, 5, 1
2023/2/18, 8, 13, 1
2023/2/19, 11, 4, 5
2023/2/20, 6, 5, 6
2023/2/21, 16, 15, 8
2023/2/22, 27, 6, 8
2023/2/23, 19, 4, 7
2023/2/24, 14, 2, 3
2023/2/25, 8, 5, 7
2023/2/26, 10, 4, 12
2023/2/27, 12, 3, 8
2023/2/28, 7, 8, 5
2023/3/1, 8, 22, 4
2023/3/2, 17, 15, 2
2023/3/3, 14, 14, 1
2023/3/4, 10, 7, 2
2023/3/5, 9, 7, 5
2023/3/6, 10, 20, 10
2023/3/7, 25, 3, 3
2023/3/8, 12, 5, 14
2023/3/9, 14, 6, 16
2023/3/10, 18, 7, 9
2023/3/11, 24, 5, 4
2023/3/12, 11, 4, 7
2023/3/13, 8, 2, 4
2023/3/14, 5, 11, 5
2023/3/15, 13, 20, 5
2023/3/16, 16, 25, 5
2023/3/17, 16, 16, 4
2023/3/18, 52, , 6
2023/3/20, 19, 15, 6
2023/3/21, 20, 5, 5
2023/3/22, 16, 31, 7
2023/3/23, 31, 8, 6
2023/3/24, 16, 2, 3
2023/3/25, 7, 7, 2
2023/3/26, 10, 6, 2
2023/3/27, 15, , 
2022/10/3, 39, 5, 7
2022/10/4, 11, 5, 6
2022/10/5, 15, 5, 
2022/10/6, 11, 6, 5
2022/10/7, 16, 5, 2
2022/10/8, 13, 3, 3
2022/10/9, 10, 4, 3
2022/10/10, 12, 4, 3
2022/10/11, 13, 4, 11
2022/10/12, 9, 6, 5
2022/10/13, 17, 14, 8
2022/10/14, 43, 16, 4
2022/10/15, 48, 7, 2
2022/10/16, 24, 4, 4
2022/10/17, 10, 2, 5
2022/10/18, 7, 2, 7
2022/10/19, 6, 4, 20
2022/10/20, 11, 6, 15
2022/10/21, 16, 12, 9
2022/10/22, 35, 7, 6
2022/10/23, 22, 3, 6
2022/10/24, 11, 6, 6
2022/10/25, 18, 2, 3
2022/10/26, 7, 7, 6
2022/10/27, 21, 8, 6
2022/10/28, 26, 3, 2
2022/10/29, 10, 5, 9
2022/10/30, 13, 8, 9
2022/10/31, 26, 6, 9
2022/11/1, 17, 8, 8
2022/11/2, 25, 5, 7
2022/11/3, 17, 5, 6
2022/11/4, 15, 5, 4
2022/11/5, 16, 3, 3
2022/11/6, 11, 6, 4
2022/11/7, 19, 3, 7
2022/11/8, 9, 7, 6
2022/11/9, 22, 6, 7
2022/11/10, 18, 3, 2
2022/11/11, 9, 6, 4
2022/11/12, 16, 11, 13
2022/11/13, 25, 5, 6
2022/11/14, 17, 2, 2
2022/11/15, 6, 3, 4
2022/11/16, 7, 3, 4
2022/11/17, 7, 3, 4
2022/11/18, 8, 4, 3
2022/11/19, 11, 2, 3
2022/11/20, 8, 6, 6
2022/11/21, 21, 9, 9
2022/11/22, 30, 3, 8
2022/11/23, 11, 4, 9
2022/11/24, 13, 5, 8
2022/11/25, 18, 7, 6
2022/11/26, 23, 8, 6
2022/11/27, 27, 9, 9
2022/11/28, 30, 6, 8
2022/11/29, 20, 8, 13
2022/11/30, 27, 8, 11
2022/12/1, 25, 10, 6
2022/12/2, 35, 13, 4
2022/12/3, 32, 8, 4
2022/12/4, 25, 9, 10
2022/12/5, 27, 8, 8
2022/12/6, 23, 5, 9
2022/12/7, 16, 7, 10
2022/12/8, 21, 10, 12
2022/12/9, 32, 7, 3
2022/12/10, 23, 7, 4
2022/12/11, 22, 5, 3
2022/12/12, 17, 6, 4
2022/12/13, 17, 7, 10
2022/12/14, 22, 8, 14
2022/12/15, 28, 11, 12
2022/12/16, 38, 6, 7
2022/12/17, 21, 9, 5
2022/12/18, 30, 9, 7
2022/12/19, 31, 9, 8
2022/12/20, 32, 5, 7
2022/12/21, 17, 5, 8
2022/12/22, 15, 5, 5
2022/12/23, 17, 7, 7
2022/12/24, 23, 7, 7
2022/12/25, 23, 7, 3
2022/12/26, 25, 2, 3
2022/12/27, 8, 4, 11
2022/12/28, 12, 3, 5
2022/12/29, 10, 4, 5
2022/12/30, 13, 6, 2
2022/12/31, 17, 7, 8
2023/1/1, 23, 5, 11
2022/9/2, 7, 3, 7
2022/9/3, 8, 3, 5
2022/9/4, 7, 3, 6
2022/9/5, 8, 5, 7
2022/9/6, 11, 2, 3
2022/9/7, 5, 3, 7
2022/9/8, 7, 4, 6
2022/9/9, 9, 6, 6
2022/9/10, 14, 6, 6
2022/9/11, 17, 8, 9
2022/9/12, 22, 4, 7
2022/9/13, 12, 3, 4
2022/9/14, 8, 2, 4
2022/9/15, 6, 2, 3
2022/9/16, 6, 2, 2
2022/9/17, 7, 2, 3
2022/9/18, 7, 2, 3
2022/9/19, 4, 2, 5
